Bus, BasekV, Node1, Magnitude1, Angle1, pu1, Node2, Magnitude2, Angle2, pu2, Node3, Magnitude3, Angle3, pu3
"SOURCEBUS", 11, 1,    6666.17,    0.0,    1.0497, 2,     6665.8, -120.0,    1.0496, 3,    6666.71,  120.0,    1.0497
"1", 0.416, 1,    250.414,  -31.0,    1.0426, 2,    249.951, -151.1,    1.0407, 3,    250.673,   89.3,    1.0437
"2", 0.416, 1,    250.173,  -31.0,    1.0416, 2,    249.592, -151.1,    1.0392, 3,    250.528,   89.3,    1.0431
"3", 0.416, 1,    250.148,  -31.0,    1.0415, 2,    249.554, -151.1,     1.039, 3,    250.513,   89.3,     1.043
"4", 0.416, 1,    250.125,  -30.9,    1.0414, 2,    249.519, -151.1,    1.0389, 3,    250.499,   89.3,     1.043
"5", 0.416, 1,    250.104,  -30.9,    1.0413, 2,    249.488, -151.1,    1.0388, 3,    250.486,   89.3,    1.0429
"6", 0.416, 1,    250.072,  -30.9,    1.0412, 2,     249.44, -151.1,    1.0386, 3,    250.467,   89.3,    1.0428
"7", 0.416, 1,    247.864,  -30.7,     1.032, 2,    246.141, -151.1,    1.0248, 3,    249.132,   89.2,    1.0373
"8", 0.416, 1,    247.766,  -30.7,    1.0316, 2,    245.994, -151.1,    1.0242, 3,    249.073,   89.2,     1.037
"9", 0.416, 1,    247.683,  -30.7,    1.0313, 2,    245.871, -151.1,    1.0237, 3,    249.023,   89.2,    1.0368
"10", 0.416, 1,    247.611,  -30.7,     1.031, 2,    245.763, -151.1,    1.0233, 3,    248.979,   89.2,    1.0366
"11", 0.416, 1,    247.557,  -30.7,    1.0307, 2,    245.682, -151.1,    1.0229, 3,    248.947,   89.2,    1.0365
"12", 0.416, 1,    247.507,  -30.7,    1.0305, 2,    245.607, -151.1,    1.0226, 3,    248.916,   89.2,    1.0364
"13", 0.416, 1,    247.476,  -30.7,    1.0304, 2,     245.56, -151.1,    1.0224, 3,    248.897,   89.2,    1.0363
"14", 0.416, 1,    247.399,  -30.7,    1.0301, 2,    245.445, -151.1,    1.0219, 3,     248.85,   89.2,    1.0361
"15", 0.416, 1,    246.772,  -30.6,    1.0275, 2,    244.507, -151.0,     1.018, 3,    248.471,   89.2,    1.0345
"16", 0.416, 1,    246.772,  -30.6,    1.0275, 2,    244.507, -151.0,     1.018, 3,    248.471,   89.2,    1.0345
"17", 0.416, 1,    246.013,  -30.6,    1.0243, 2,    243.371, -151.0,    1.0133, 3,    248.011,   89.2,    1.0326
"18", 0.416, 1,    246.772,  -30.6,    1.0275, 2,    244.507, -151.0,     1.018, 3,    248.471,   89.2,    1.0345
"19", 0.416, 1,     245.96,  -30.6,    1.0241, 2,    243.292, -151.0,     1.013, 3,     247.98,   89.2,    1.0325
"20", 0.416, 1,    246.772,  -30.6,    1.0275, 2,    244.507, -151.0,     1.018, 3,    248.471,   89.2,    1.0345
"21", 0.416, 1,    245.902,  -30.6,    1.0238, 2,    243.205, -151.0,    1.0126, 3,    247.944,   89.2,    1.0323
"22", 0.416, 1,    246.772,  -30.6,    1.0275, 2,    244.507, -151.0,     1.018, 3,    248.471,   89.2,    1.0345
"23", 0.416, 1,    245.806,  -30.5,    1.0234, 2,    243.062, -151.0,     1.012, 3,    247.886,   89.2,    1.0321
"24", 0.416, 1,    246.772,  -30.6,    1.0275, 2,    244.507, -151.0,     1.018, 3,    248.471,   89.2,    1.0345
"25", 0.416, 1,    245.633,  -30.5,    1.0227, 2,    242.802, -151.0,    1.0109, 3,    247.781,   89.2,    1.0317
"26", 0.416, 1,    246.772,  -30.6,    1.0275, 2,    244.507, -151.0,     1.018, 3,    248.471,   89.2,    1.0345
"27", 0.416, 1,    245.303,  -30.5,    1.0213, 2,    242.803, -151.0,    1.0109, 3,    247.785,   89.2,    1.0317
"28", 0.416, 1,     243.84,  -30.3,    1.0152, 2,    239.503, -150.9,   0.99719, 3,    246.336,   89.2,    1.0256
"29", 0.416, 1,    246.772,  -30.6,    1.0275, 2,    244.507, -151.0,     1.018, 3,    248.471,   89.2,    1.0345
"30", 0.416, 1,     245.28,  -30.5,    1.0212, 2,    242.803, -151.0,    1.0109, 3,    247.785,   89.2,    1.0317
"31", 0.416, 1,    245.237,  -30.5,    1.0211, 2,    242.803, -151.0,    1.0109, 3,    247.785,   89.2,    1.0317
"32", 0.416, 1,    243.364,  -30.3,    1.0133, 2,    238.625, -150.9,   0.99354, 3,    245.951,   89.1,     1.024
"33", 0.416, 1,    246.772,  -30.6,    1.0275, 2,    244.507, -151.0,     1.018, 3,    248.471,   89.2,    1.0345
"34", 0.416, 1,    245.228,  -30.5,     1.021, 2,    242.803, -151.0,    1.0109, 3,    247.786,   89.2,    1.0317
"35", 0.416, 1,    245.235,  -30.5,    1.0211, 2,    242.803, -151.0,    1.0109, 3,    247.785,   89.2,    1.0317
"36", 0.416, 1,    243.366,  -30.3,    1.0133, 2,    238.453, -150.9,   0.99282, 3,    245.951,   89.1,     1.024
"37", 0.416, 1,    241.867,  -30.2,     1.007, 2,    236.138, -150.8,   0.98318, 3,    244.771,   89.1,    1.0191
"38", 0.416, 1,    246.772,  -30.6,    1.0275, 2,    244.507, -151.0,     1.018, 3,    248.471,   89.2,    1.0345
"39", 0.416, 1,    245.232,  -30.5,     1.021, 2,    242.803, -151.0,    1.0109, 3,    247.786,   89.2,    1.0317
"40", 0.416, 1,    243.366,  -30.3,    1.0133, 2,    238.448, -150.9,    0.9928, 3,    245.951,   89.1,     1.024
"41", 0.416, 1,    243.366,  -30.3,    1.0133, 2,    238.421, -150.9,   0.99268, 3,    245.952,   89.1,     1.024
"42", 0.416, 1,     240.83,  -30.1,    1.0027, 2,    234.411, -150.8,   0.97599, 3,    243.953,   89.1,    1.0157
"43", 0.416, 1,    241.867,  -30.2,     1.007, 2,    236.138, -150.8,   0.98318, 3,    244.771,   89.1,    1.0191
"44", 0.416, 1,    246.772,  -30.6,    1.0275, 2,    244.507, -151.0,     1.018, 3,    248.471,   89.2,    1.0345
"45", 0.416, 1,    245.228,  -30.5,     1.021, 2,    242.803, -151.0,    1.0109, 3,    247.786,   89.2,    1.0317
"46", 0.416, 1,    243.366,  -30.3,    1.0133, 2,    238.446, -150.9,   0.99279, 3,    245.951,   89.1,     1.024
"47", 0.416, 1,    243.367,  -30.3,    1.0133, 2,    238.342, -150.9,   0.99236, 3,    245.952,   89.1,     1.024
"48", 0.416, 1,    240.047,  -30.0,   0.99945, 2,    233.107, -150.7,   0.97056, 3,    243.334,   89.1,    1.0131
"49", 0.416, 1,    241.867,  -30.2,     1.007, 2,    236.138, -150.8,   0.98318, 3,    244.771,   89.1,    1.0191
"50", 0.416, 1,    246.772,  -30.6,    1.0275, 2,    244.507, -151.0,     1.018, 3,    248.471,   89.2,    1.0345
"51", 0.416, 1,    245.218,  -30.5,     1.021, 2,    242.803, -151.0,    1.0109, 3,    247.786,   89.2,    1.0317
"52", 0.416, 1,    243.366,  -30.3,    1.0133, 2,    238.444, -150.9,   0.99278, 3,    245.951,   89.1,     1.024
"53", 0.416, 1,    239.934,  -30.0,   0.99898, 2,    232.919, -150.7,   0.96978, 3,    243.245,   89.1,    1.0128
"54", 0.416, 1,    240.047,  -30.0,   0.99945, 2,    233.107, -150.7,   0.97056, 3,    243.334,   89.1,    1.0131
"55", 0.416, 1,    241.867,  -30.2,     1.007, 2,    236.138, -150.8,   0.98318, 3,    244.771,   89.1,    1.0191
"56", 0.416, 1,    246.772,  -30.6,    1.0275, 2,    244.507, -151.0,     1.018, 3,    248.471,   89.2,    1.0345
"57", 0.416, 1,    245.209,  -30.5,    1.0209, 2,    242.803, -151.0,    1.0109, 3,    247.786,   89.2,    1.0317
"58", 0.416, 1,    243.366,  -30.3,    1.0133, 2,    238.442, -150.9,   0.99277, 3,    245.951,   89.1,     1.024
"59", 0.416, 1,    239.422,  -29.9,   0.99685, 2,    232.067, -150.7,   0.96623, 3,    242.841,   89.1,    1.0111
"60", 0.416, 1,    240.047,  -30.0,   0.99945, 2,    233.107, -150.7,   0.97056, 3,    243.334,   89.1,    1.0131
"61", 0.416, 1,    241.867,  -30.2,     1.007, 2,    236.138, -150.8,   0.98318, 3,    244.771,   89.1,    1.0191
"62", 0.416, 1,    246.772,  -30.6,    1.0275, 2,    244.507, -151.0,     1.018, 3,    248.471,   89.2,    1.0345
"63", 0.416, 1,    245.168,  -30.5,    1.0208, 2,    242.803, -151.0,    1.0109, 3,    247.786,   89.2,    1.0317
"64", 0.416, 1,    243.366,  -30.3,    1.0133, 2,     238.44, -150.9,   0.99277, 3,    245.951,   89.1,     1.024
"65", 0.416, 1,    239.335,  -29.9,   0.99649, 2,    231.892, -150.7,    0.9655, 3,    242.754,   89.1,    1.0107
"66", 0.416, 1,    239.067,  -29.9,   0.99538, 2,    232.068, -150.7,   0.96624, 3,    242.845,   89.1,    1.0111
"67", 0.416, 1,    240.047,  -30.0,   0.99945, 2,    233.107, -150.7,   0.97056, 3,    243.334,   89.1,    1.0131
"68", 0.416, 1,    241.867,  -30.2,     1.007, 2,    236.138, -150.8,   0.98318, 3,    244.771,   89.1,    1.0191
"69", 0.416, 1,    246.772,  -30.6,    1.0275, 2,    244.507, -151.0,     1.018, 3,    248.471,   89.2,    1.0345
"70", 0.416, 1,    245.022,  -30.5,    1.0202, 2,    242.803, -151.0,    1.0109, 3,    247.788,   89.2,    1.0317
"71", 0.416, 1,    243.366,  -30.3,    1.0133, 2,    238.438, -150.9,   0.99276, 3,    245.952,   89.1,     1.024
"72", 0.416, 1,    238.303,  -29.8,   0.99219, 2,    229.826, -150.6,    0.9569, 3,     241.72,   89.0,    1.0064
"73", 0.416, 1,    238.962,  -29.9,   0.99494, 2,    232.069, -150.7,   0.96624, 3,    242.846,   89.1,    1.0111
"74", 0.416, 1,    238.998,  -29.9,   0.99509, 2,    232.069, -150.7,   0.96624, 3,    242.846,   89.1,    1.0111
"75", 0.416, 1,    240.047,  -30.0,   0.99945, 2,    233.107, -150.7,   0.97056, 3,    243.334,   89.1,    1.0131
"76", 0.416, 1,    241.867,  -30.2,     1.007, 2,    236.138, -150.8,   0.98318, 3,    244.771,   89.1,    1.0191
"77", 0.416, 1,    246.772,  -30.6,    1.0275, 2,    244.507, -151.0,     1.018, 3,    248.471,   89.2,    1.0345
"78", 0.416, 1,    243.366,  -30.3,    1.0133, 2,    238.425, -150.9,    0.9927, 3,    245.952,   89.1,     1.024
"79", 0.416, 1,    237.943,  -29.8,    0.9907, 2,    229.106, -150.6,    0.9539, 3,    241.359,   89.0,    1.0049
"80", 0.416, 1,    240.047,  -30.0,   0.99945, 2,    233.107, -150.7,   0.97056, 3,    243.334,   89.1,    1.0131
"81", 0.416, 1,    241.867,  -30.2,     1.007, 2,    236.138, -150.8,   0.98318, 3,    244.771,   89.1,    1.0191
"82", 0.416, 1,    246.772,  -30.6,    1.0275, 2,    244.507, -151.0,     1.018, 3,    248.471,   89.2,    1.0345
"83", 0.416, 1,    243.366,  -30.3,    1.0133, 2,    238.376, -150.9,    0.9925, 3,    245.952,   89.1,     1.024
"84", 0.416, 1,    237.865,  -29.8,   0.99037, 2,    228.949, -150.6,   0.95325, 3,     241.28,   89.0,    1.0046
"85", 0.416, 1,    240.047,  -30.0,   0.99945, 2,    233.107, -150.7,   0.97056, 3,    243.334,   89.1,    1.0131
"86", 0.416, 1,    241.867,  -30.2,     1.007, 2,    236.138, -150.8,   0.98318, 3,    244.771,   89.1,    1.0191
"87", 0.416, 1,    246.772,  -30.6,    1.0275, 2,    244.507, -151.0,     1.018, 3,    248.471,   89.2,    1.0345
"88", 0.416, 1,    237.706,  -29.7,   0.98971, 2,    228.631, -150.6,   0.95192, 3,    241.121,   89.0,    1.0039
"89", 0.416, 1,    240.047,  -30.0,   0.99945, 2,    233.107, -150.7,   0.97056, 3,    243.334,   89.1,    1.0131
"90", 0.416, 1,    241.867,  -30.2,     1.007, 2,    236.138, -150.8,   0.98318, 3,    244.771,   89.1,    1.0191
"91", 0.416, 1,    246.772,  -30.6,    1.0275, 2,    244.507, -151.0,     1.018, 3,    248.471,   89.2,    1.0345
"92", 0.416, 1,    237.556,  -29.7,   0.98908, 2,     228.33, -150.6,   0.95067, 3,     240.97,   89.0,    1.0033
"93", 0.416, 1,    241.867,  -30.2,     1.007, 2,    236.138, -150.8,   0.98318, 3,    244.771,   89.1,    1.0191
"94", 0.416, 1,    246.772,  -30.6,    1.0275, 2,    244.507, -151.0,     1.018, 3,    248.471,   89.2,    1.0345
"95", 0.416, 1,    237.469,  -29.7,   0.98872, 2,    228.156, -150.6,   0.94995, 3,    240.883,   89.0,    1.0029
"96", 0.416, 1,    241.867,  -30.2,     1.007, 2,    236.138, -150.8,   0.98318, 3,    244.771,   89.1,    1.0191
"97", 0.416, 1,    246.772,  -30.6,    1.0275, 2,    244.507, -151.0,     1.018, 3,    248.471,   89.2,    1.0345
"98", 0.416, 1,    237.411,  -29.7,   0.98848, 2,     228.04, -150.6,   0.94946, 3,    240.825,   89.0,    1.0027
"99", 0.416, 1,    241.867,  -30.2,     1.007, 2,    236.138, -150.8,   0.98318, 3,    244.771,   89.1,    1.0191
"100", 0.416, 1,    246.772,  -30.6,    1.0275, 2,    244.507, -151.0,     1.018, 3,    248.471,   89.2,    1.0345
"101", 0.416, 1,    237.332,  -29.7,   0.98815, 2,    227.881, -150.6,    0.9488, 3,    240.746,   89.0,    1.0024
"102", 0.416, 1,    241.867,  -30.2,     1.007, 2,    236.138, -150.8,   0.98318, 3,    244.771,   89.1,    1.0191
"103", 0.416, 1,    246.772,  -30.6,    1.0275, 2,    244.507, -151.0,     1.018, 3,    248.471,   89.2,    1.0345
"104", 0.416, 1,    237.332,  -29.7,   0.98815, 2,    227.877, -150.6,   0.94878, 3,    240.744,   89.0,    1.0024
"105", 0.416, 1,    237.277,  -29.7,   0.98792, 2,    227.798, -150.5,   0.94846, 3,    240.701,   89.0,    1.0022
"106", 0.416, 1,    241.867,  -30.2,     1.007, 2,    236.138, -150.8,   0.98318, 3,    244.771,   89.1,    1.0191
"107", 0.416, 1,    237.333,  -29.7,   0.98815, 2,    227.871, -150.6,   0.94876, 3,    240.742,   89.0,    1.0024
"108", 0.416, 1,    237.246,  -29.7,   0.98779, 2,    227.751, -150.5,   0.94826, 3,    240.675,   89.0,    1.0021
"109", 0.416, 1,    241.867,  -30.2,     1.007, 2,    236.138, -150.8,   0.98318, 3,    244.771,   89.1,    1.0191
"110", 0.416, 1,    237.333,  -29.7,   0.98816, 2,    227.865, -150.6,   0.94874, 3,     240.74,   89.0,    1.0023
"111", 0.416, 1,    236.019,  -29.6,   0.98268, 2,    225.896, -150.5,   0.94054, 3,    239.667,   89.0,   0.99787
"112", 0.416, 1,    241.867,  -30.2,     1.007, 2,    236.138, -150.8,   0.98318, 3,    244.771,   89.1,    1.0191
"113", 0.416, 1,    237.334,  -29.7,   0.98816, 2,    227.856, -150.6,    0.9487, 3,    240.737,   89.0,    1.0023
"114", 0.416, 1,    235.896,  -29.6,   0.98217, 2,     225.71, -150.5,   0.93976, 3,    239.566,   89.0,   0.99745
"115", 0.416, 1,    241.867,  -30.2,     1.007, 2,    236.138, -150.8,   0.98318, 3,    244.771,   89.1,    1.0191
"116", 0.416, 1,    237.335,  -29.7,   0.98816, 2,    227.843, -150.6,   0.94865, 3,    240.733,   89.0,    1.0023
"117", 0.416, 1,    235.898,  -29.6,   0.98218, 2,    225.702, -150.5,   0.93973, 3,    239.558,   89.0,   0.99742
"118", 0.416, 1,    235.495,  -29.5,    0.9805, 2,    225.208, -150.5,   0.93767, 3,    239.331,   89.0,   0.99647
"119", 0.416, 1,    241.867,  -30.2,     1.007, 2,    236.138, -150.8,   0.98318, 3,    244.771,   89.1,    1.0191
"120", 0.416, 1,    237.336,  -29.7,   0.98817, 2,    227.835, -150.6,   0.94861, 3,     240.73,   89.0,    1.0023
"121", 0.416, 1,    235.898,  -29.6,   0.98218, 2,    225.702, -150.5,   0.93973, 3,    239.558,   89.0,   0.99742
"122", 0.416, 1,    235.899,  -29.6,   0.98219, 2,    225.698, -150.5,   0.93971, 3,    239.554,   89.0,    0.9974
"123", 0.416, 1,    234.772,  -29.5,   0.97749, 2,    224.302, -150.5,    0.9339, 3,    238.907,   89.0,   0.99471
