Load, Connected KVA, Allocation Factor, Phases, kW, kvar, PF, Model
LOAD1,      0.0, 0.500, 1,      2.8,      0.9, 0.950, 1
LOAD2,      0.0, 0.500, 1,      3.6,      1.2, 0.950, 1
LOAD3,      0.0, 0.500, 1,      8.3,      2.7, 0.950, 1
LOAD4,      0.0, 0.500, 1,      5.2,      1.7, 0.950, 1
LOAD5,      0.0, 0.500, 1,      3.4,      1.1, 0.950, 1
LOAD6,      0.0, 0.500, 1,      2.4,      0.8, 0.950, 1
LOAD7,      0.0, 0.500, 1,     14.7,      4.8, 0.950, 1
LOAD8,      0.0, 0.500, 1,      9.0,      3.0, 0.950, 1
LOAD9,      0.0, 0.500, 1,      6.8,      2.2, 0.950, 1
LOAD10,      0.0, 0.500, 1,      5.4,      1.8, 0.950, 1
LOAD11,      0.0, 0.500, 1,      2.3,      0.8, 0.950, 1
LOAD12,      0.0, 0.500, 1,      2.2,      0.7, 0.950, 1
LOAD13,      0.0, 0.500, 1,      9.2,      3.0, 0.950, 1
LOAD14,      0.0, 0.500, 1,      2.5,      0.8, 0.950, 1
LOAD15,      0.0, 0.500, 1,      3.1,      1.0, 0.950, 1
LOAD16,      0.0, 0.500, 1,      8.8,      2.9, 0.950, 1
LOAD17,      0.0, 0.500, 1,      2.7,      0.9, 0.950, 1
LOAD18,      0.0, 0.500, 1,     11.2,      3.7, 0.950, 1
LOAD19,      0.0, 0.500, 1,      9.6,      3.2, 0.950, 1
LOAD20,      0.0, 0.500, 1,      6.2,      2.0, 0.950, 1
LOAD21,      0.0, 0.500, 1,      3.1,      1.0, 0.950, 1
LOAD22,      0.0, 0.500, 1,      1.8,      0.6, 0.950, 1
LOAD23,      0.0, 0.500, 1,      9.5,      3.1, 0.950, 1
LOAD24,      0.0, 0.500, 1,      9.1,      3.0, 0.950, 1
LOAD25,      0.0, 0.500, 1,      3.3,      1.1, 0.950, 1
LOAD26,      0.0, 0.500, 1,     12.7,      4.2, 0.950, 1
LOAD27,      0.0, 0.500, 1,      8.1,      2.7, 0.950, 1
LOAD28,      0.0, 0.500, 1,      0.8,      0.3, 0.950, 1
LOAD29,      0.0, 0.500, 1,     10.5,      3.5, 0.950, 1
LOAD30,      0.0, 0.500, 1,      3.0,      1.0, 0.950, 1
LOAD31,      0.0, 0.500, 1,      8.3,      2.7, 0.950, 1
LOAD32,      0.0, 0.500, 1,      5.7,      1.9, 0.950, 1
LOAD33,      0.0, 0.500, 1,      9.8,      3.2, 0.950, 1
LOAD34,      0.0, 0.500, 1,      8.6,      2.8, 0.950, 1
LOAD35,      0.0, 0.500, 1,     10.5,      3.5, 0.950, 1
LOAD36,      0.0, 0.500, 1,      2.7,      0.9, 0.950, 1
LOAD37,      0.0, 0.500, 1,      5.0,      1.6, 0.950, 1
LOAD38,      0.0, 0.500, 1,     12.2,      4.0, 0.950, 1
LOAD39,      0.0, 0.500, 1,      3.1,      1.0, 0.950, 1
LOAD40,      0.0, 0.500, 1,      3.5,      1.2, 0.950, 1
LOAD41,      0.0, 0.500, 1,      2.2,      0.7, 0.950, 1
LOAD42,      0.0, 0.500, 1,      5.1,      1.7, 0.950, 1
LOAD43,      0.0, 0.500, 1,      2.3,      0.8, 0.950, 1
LOAD44,      0.0, 0.500, 1,      2.8,      0.9, 0.950, 1
LOAD45,      0.0, 0.500, 1,     12.2,      4.0, 0.950, 1
LOAD46,      0.0, 0.500, 1,      7.8,      2.6, 0.950, 1
LOAD47,      0.0, 0.500, 1,      1.7,      0.6, 0.950, 1
LOAD48,      0.0, 0.500, 1,      8.9,      2.9, 0.950, 1
LOAD49,      0.0, 0.500, 1,      3.5,      1.2, 0.950, 1
LOAD50,      0.0, 0.500, 1,      3.0,      1.0, 0.950, 1
LOAD51,      0.0, 0.500, 1,      3.6,      1.2, 0.950, 1
LOAD52,      0.0, 0.500, 1,      8.3,      2.7, 0.950, 1
LOAD53,      0.0, 0.500, 1,     10.8,      3.5, 0.950, 1
LOAD54,      0.0, 0.500, 1,      3.3,      1.1, 0.950, 1
LOAD55,      0.0, 0.500, 1,      2.9,      1.0, 0.950, 1
