Element,  Total(W), Total(var),  I2R(W), I2X(var), No-load(W), No-load(var)
Transformer.REG1A, 0.3071943, 30.71867, 0.3071943, 30.71867, 0, 0
Line.L115, 19191.61, 40303.1, 19191.61, 40303.1, 0, 0
Line.L1, 3.523266, 2.635144, 3.523266, 2.635144, 0, 0
Line.L2, 136.5306, 137.0905, 136.5306, 137.0905, 0, 0
Line.L3, 13112.07, 27497.58, 13112.07, 27497.58, 0, 0
Line.L4, 16.36768, 15.53938, 16.36768, 15.53938, 0, 0
Line.L5, 66.67309, 65.88017, 66.67309, 65.88017, 0, 0
Line.L6, 23.27312, 22.28003, 23.27312, 22.28003, 0, 0
Line.L7, 8598.091, 18012.68, 8598.091, 18012.68, 0, 0
Line.L8, 4.556469, 3.421913, 4.556469, 3.421913, 0, 0
Line.L9, 121.1637, 121.6869, 121.1637, 121.6869, 0, 0
Line.L10, 11765.12, 24565.44, 11765.12, 24565.44, 0, 0
Line.L11, 84.31287, 83.34455, 84.31287, 83.34455, 0, 0
Line.L12, 81.455, 81.80708, 81.455, 81.80708, 0, 0
Line.L13, 4911.056, 9931.431, 4911.056, 9931.431, 0, 0
Line.L14, 22.13914, 21.19444, 22.13914, 21.19444, 0, 0
Line.L15, 5.463025, 4.28832, 5.463025, 4.28832, 0, 0
Line.L16, 31.62065, 30.13772, 31.62065, 30.13772, 0, 0
Line.L17, 7.370531, 5.680707, 7.370531, 5.680707, 0, 0
Line.L18, 87.55135, 87.52661, 87.55135, 87.52661, 0, 0
Line.L19, 125.176, 249.4795, 125.176, 249.4795, 0, 0
Line.L20, 28.40798, 27.20342, 28.40798, 27.20342, 0, 0
Line.L21, 48.8119, 46.72701, 48.8119, 46.72701, 0, 0
Line.L22, 111.7063, 229.393, 111.7063, 229.393, 0, 0
Line.L23, 47.18786, 45.07113, 47.18786, 45.07113, 0, 0
Line.L24, 90.94052, 184.5812, 90.94052, 184.5812, 0, 0
Line.L25, 17.44279, 35.67905, 17.44279, 35.67905, 0, 0
Line.L26, 26.1841, 50.73133, 26.1841, 50.73133, 0, 0
Line.L27, 8.274918, 16.07707, 8.274918, 16.07707, 0, 0
Line.L28, 19.57597, 18.73, 19.57597, 18.73, 0, 0
Line.L29, 43.70421, 41.85676, 43.70421, 41.85676, 0, 0
Line.L30, 14.87232, 24.34563, 14.87232, 24.34563, 0, 0
Line.L31, 10.35171, 16.25494, 10.35171, 16.25494, 0, 0
Line.L32, 3.03421E-008, -4.646248, 3.03421E-008, -4.646248, 0, 0
Line.L33, 6.527963, 5.131984, 6.527963, 5.131984, 0, 0
Line.L34, 18.96532, 18.71421, 18.96532, 18.71421, 0, 0
Line.L35, 32.31479, 66.02839, 32.31479, 66.02839, 0, 0
Line.L36, 482.0873, 978.7914, 482.0873, 978.7914, 0, 0
Line.L37, 25.97119, 24.86277, 25.97119, 24.86277, 0, 0
Line.L38, 21.24735, 20.23386, 21.24735, 20.23386, 0, 0
Line.L39, 6.711833, 5.108184, 6.711833, 5.108184, 0, 0
Line.L40, 6.954357, 5.41317, 6.954357, 5.41317, 0, 0
Line.L41, 459.0932, 929.6184, 459.0932, 929.6184, 0, 0
Line.L42, 46.05591, 44.08892, 46.05591, 44.08892, 0, 0
Line.L43, 299.1963, 608.6162, 299.1963, 608.6162, 0, 0
Line.L44, 17.62664, 16.89816, 17.62664, 16.89816, 0, 0
Line.L45, 327.0305, 664.7961, 327.0305, 664.7961, 0, 0
Line.L46, 6.664735, 5.301118, 6.664735, 5.301118, 0, 0
Line.L47, 34.00577, 66.52847, 34.00577, 66.52847, 0, 0
Line.L48, 47.48321, 93.31741, 47.48321, 93.31741, 0, 0
Line.L49, 8.035336, 13.50519, 8.035336, 13.50519, 0, 0
Line.L50, 1.930605, -0.6776629, 1.930605, -0.6776629, 0, 0
Line.L51, 3.170116E-008, -10.26658, 3.170116E-008, -10.26658, 0, 0
Line.L52, 2669.547, 5561.766, 2669.547, 5561.766, 0, 0
Line.L53, 1583.91, 3286.384, 1583.91, 3286.384, 0, 0
Line.L54, 3.376244, 0.7533562, 3.376244, 0.7533562, 0, 0
Line.L55, 4249.863, 8713.975, 4249.863, 8713.975, 0, 0
Line.L56, 1.973017, -1.985545, 1.973017, -1.985545, 0, 0
Line.L57, 21.21069, 20.19234, 21.21069, 20.19234, 0, 0
Line.L58, 8800.299, 18007.58, 8800.299, 18007.58, 0, 0
Line.L59, 5.144846, 3.906543, 5.144846, 3.906543, 0, 0
Line.L60, 0.01469686, -12.56571, 0.01469686, -12.56571, 0, 0
Line.L61, 564.9392, 219.6272, 564.9392, 219.6272, 0, 0
Line.L62, 295.5308, 103.9783, 295.5308, 103.9783, 0, 0
Line.L63, 533.4052, 178.6574, 533.4052, 178.6574, 0, 0
Line.L64, 452.0999, 132.585, 452.0999, 132.585, 0, 0
Line.L65, 112.1474, -16.3409, 112.1474, -16.3409, 0, 0
Line.L66, 147.5678, 148.5419, 147.5678, 148.5419, 0, 0
Line.L67, 768.2656, 1576.267, 768.2656, 1576.267, 0, 0
Line.L68, 206.4897, 422.564, 206.4897, 422.564, 0, 0
Line.L69, 141.0337, 141.5258, 141.0337, 141.5258, 0, 0
Line.L70, 60.08315, 59.20224, 60.08315, 59.20224, 0, 0
Line.L71, 22.606, 21.47463, 22.606, 21.47463, 0, 0
Line.L72, 212.0256, 213.495, 212.0256, 213.495, 0, 0
Line.L73, 472.1774, 1014.839, 472.1774, 1014.839, 0, 0
Line.L74, 122.6042, 122.4543, 122.6042, 122.4543, 0, 0
Line.L75, 32.94909, 31.30807, 32.94909, 31.30807, 0, 0
Line.L76, 417.4915, 842.3792, 417.4915, 842.3792, 0, 0
Line.L77, 229.5217, 513.9833, 229.5217, 513.9833, 0, 0
Line.L78, 107.6901, 216.9186, 107.6901, 216.9186, 0, 0
Line.L79, 7.293493, 11.70537, 7.293493, 11.70537, 0, 0
Line.L80, 522.8954, 1081.111, 522.8954, 1081.111, 0, 0
Line.L81, 206.7318, 428.1412, 206.7318, 428.1412, 0, 0
Line.L82, 302.9283, 607.1036, 302.9283, 607.1036, 0, 0
Line.L83, 124.036, 122.1678, 124.036, 122.1678, 0, 0
Line.L84, 317.0367, 648.4566, 317.0367, 648.4566, 0, 0
Line.L85, 38.82465, 36.85197, 38.82465, 36.85197, 0, 0
Line.L86, 116.9859, 242.2354, 116.9859, 242.2354, 0, 0
Line.L87, 19.42683, 18.76953, 19.42683, 18.76953, 0, 0
Line.L88, 40.39264, 81.07068, 40.39264, 81.07068, 0, 0
Line.L89, 28.17949, 27.26614, 28.17949, 27.26614, 0, 0
Line.L90, 17.63246, 31.2111, 17.63246, 31.2111, 0, 0
Line.L91, 33.36566, 32.23046, 33.36566, 32.23046, 0, 0
Line.L92, 10.75581, 19.26211, 10.75581, 19.26211, 0, 0
Line.L93, 22.49652, 21.35663, 22.49652, 21.35663, 0, 0
Line.L94, 8.638972, 12.66802, 8.638972, 12.66802, 0, 0
Line.L95, 4.148062, 3.166047, 4.148062, 3.166047, 0, 0
Line.L96, 16.29927, 26.58778, 16.29927, 26.58778, 0, 0
Line.L97, 27.91711, 45.58119, 27.91711, 45.58119, 0, 0
Line.L98, 9.834756, 14.83554, 9.834756, 14.83554, 0, 0
Line.L99, 2.393029E-007, -19.35269, 2.393029E-007, -19.35269, 0, 0
Line.L118, 113.8466, 232.4744, 113.8466, 232.4744, 0, 0
Line.L100, 115.7274, 116.1362, 115.7274, 116.1362, 0, 0
Line.L101, 114.1851, 254.8397, 114.1851, 254.8397, 0, 0
Line.L102, 107.0899, 106.8585, 107.0899, 106.8585, 0, 0
Line.L103, 57.76467, 54.89822, 57.76467, 54.89822, 0, 0
Line.L104, 74.29022, 74.13542, 74.29022, 74.13542, 0, 0
Line.L105, 118.9474, 266.6646, 118.9474, 266.6646, 0, 0
Line.L106, 47.53145, 45.18408, 47.53145, 45.18408, 0, 0
Line.L107, 474.371, 478.5496, 474.371, 478.5496, 0, 0
Line.L108, 4.667456E-007, -24.16204, 4.667456E-007, -24.16204, 0, 0
Line.L109, 163.8512, 164.5481, 163.8512, 164.5481, 0, 0
Line.L110, 11.96029, 9.144827, 11.96029, 9.144827, 0, 0
Line.L111, 44.22595, 44.18694, 44.22595, 44.18694, 0, 0
Line.L112, 104.8978, 103.6281, 104.8978, 103.6281, 0, 0
Line.L113, 6.792557, 5.210167, 6.792557, 5.210167, 0, 0
Line.L114, 1026.377, 2098.596, 1026.377, 2098.596, 0, 0
Line.L116, 5633.14, 11785.73, 5633.14, 11785.73, 0, 0
Line.L117, 2370.018, 4814.128, 2370.018, 4814.128, 0, 0
Line.SW1, 0.8146895, 1.164153E-010, 0.8146895, 1.164153E-010, 0, 0
Line.SW2, 0.2407152, -8.731149E-011, 0.2407152, -8.731149E-011, 0, 0
Line.SW3, 0.04674183, -1.455192E-011, 0.04674183, -1.455192E-011, 0, 0
Line.SW4, 0.1237126, 0, 0.1237126, 0, 0, 0
Line.SW5, 0.007541355, -2.910383E-011, 0.007541355, -2.910383E-011, 0, 0
Line.SW6, 4.624336E-007, -3.410605E-013, 4.624336E-007, -3.410605E-013, 0, 0
Line.SW7, 0, 0, 0, 0, 0, 0
Line.SW8, 0, 0, 0, 0, 0, 0
Transformer.XFM1, 0.6775436, 1.552351, 0.6775436, 1.552351, 0, 0
Capacitor.C83, 1.455192E-011, -647793, 1.455192E-011, -647793, 0, 0
Capacitor.C88A, 4.547474E-013, -53501.66, 4.547474E-013, -53501.66, 0, 0
Capacitor.C90B, 0, -52699.14, 0, -52699.14, 0, 0
Capacitor.C92C, -3.637979E-012, -53813.17, -3.637979E-012, -53813.17, 0, 0
Transformer.REG2A, 0.0002244341, 0.2245005, 0.0002244341, 0.2245005, 0, 0
Transformer.REG3A, 0.0001001565, 0.1001565, 0.0001001565, 0.1001565, 0, 0
Transformer.REG4A, 0.01662782, 16.62778, 0.01662782, 16.62778, 0, 0
Transformer.REG3C, 9.76737E-005, 0.09844928, 9.76737E-005, 0.09844928, 0, 0
Transformer.REG4B, 0.00853345, 8.532736, 0.00853345, 8.532736, 0, 0
